Name,Pricing,Categories,Ratings,Latest Release,Tool Intro Information,Highlights,Description,Requirements,Support,Additional Information,About Company,Website,Email,Address
Sales Activity Dashboard,Free,Dashboards & Reports,-12,1/10/2019,,"Visibility of Sales Activities: Custom reports based exclusively on the out-of-the-box application

Visibility of Sales Professional Work Rate: Custom Dashboard

Spot Neglected Opportunities & Accounts","This Dashboard is important to Sales Professionals who wish to have visibility of the types of Activity their Sales Teams are engaging in on Opportunities. This is particularly helpful in team selling environments where together with Account Executives the Opportunity may have Activities from Sales Consulting, Engineering and Professional Services teams.","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance
Other System Requirements
No additional system requirements",,"Package Name
Sales Activity Dashboard 1.0
Version
1.0 / 1.0.0
Listed On
9/7/2006
Latest Release
1/10/2019
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
DocuSign Gen for Salesforce: Simplified custom document generation,Starting at $20 USD per user per month,Document Generation,-7,7/8/2021,"Automate the generation of agreements from Salesforce
 Built for small businesses, Gen accelerates sales cycles by automating the generation of customized sales documents with just a few clicks from Salesforce.####**Try it free for 30 days!**","If you like DocuSign eSignature for Salesforce, you will love Gen: DocuSign Gen for Salesforce extends the DocuSign experience to document generation—with the ease of setup, management, and use that you expect from DocuSign.

Stay in Salesforce: Your reps can generate agreements from opportunity data without leaving the Salesforce user interface, in either Lightning or Classic.

Purpose-built for small businesses: Try, buy, and configure yourself. Use clicks, not code to create templates, without the need to pay for deployment help.","Document generation done right:####• Seamless merging of Salesforce data: Eliminate data entry errors by automatically pulling in Salesforce customer, product, and pricing data.####• Dynamic tables: Generate a quote or invoice that includes a table without the need to reformat.####• Generated documents are editable: Reps, legal reviewers and customers can review documents in PDF, Word or DocuSign agreement formats.####• Admin-friendly: Drag and drop template creation. Conditional content allows for fewer templates, which means less admin overhead.####• “Conditional content” that customizes itself: Leverage business rules to drive the inclusion or exclusion of content sections by factors like geography and deal size.####• Admin-friendly: Setup and template creation are guided. Conditional content allows for fewer templates, which means less admin overhead.####• Powered by Lightning: Offers a modern, mobile-friendly user experience. Salesforce Classic compatible.####• Integrated with Salesforce and DocuSign eSignature: Automate the agreement process before, during, and after eSignature.####DocuSign for Salesforce connector is required to use.","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance, Essentials
Other System Requirements
No additional system requirements","866.219.4318
Knowledge Base
https://support.docusign.com","Package Name
DocuSign Apps Launcher
Version
3.3.1 / 3.3.1
Listed On
3/20/2019
Latest Release
7/8/2021
Languages
English,French,German,Italian,Japanese,Korean,Portuguese,Russian,Simplified Chinese,Spanish,Traditional Chinese","Automate and connect the entire agreement process with DocuSign. ##DocuSign helps organizations connect and automate how they prepare, sign, act on, and manage agreements. As part of the DocuSign Agreement Cloud, DocuSign offers eSignature: the world’s #1 way to sign electronically on practically any device, from almost anywhere, at any time*. Today, more than 500,000 customers and hundreds of millions of users in over 180 countries use DocuSign to accelerate the process of doing business and to simplify people's lives. ####More than electronic signature. ##We pioneered eSignature and now we’ve created the world’s first agreement cloud. The DocuSign Agreement Cloud is a comprehensive set of more than a dozen applications and 350 integrations for connecting and automating the entire agreement process. With DocuSign, organizations can do business faster with less risk, lower costs, and better experiences for customers, partners, and employees.",https://www.docusign.com/solutions/salesforce,getdfs@docusign.com,"San Francisco, CA, USA"
Salesforce Lead Capture,Free,Campaign Management,-110,11/14/2016,"Automate leads from Facebook Lead Ads directly into Sales Cloud
 Lead Capture for Sales Cloud allows brands running demand generation campaigns on Facebook using Lead Ads to automate lead form submissions directly into Sales Cloud and map them to Lead Objects.","Automate the flow of customer information directly from Facebook into Sales Cloud for sales teams to manage lead pipeline directly. Leads appears automatically in real time, using a secure connection to Facebook.

If you're also a Marketing Cloud customer, ensure the sales process is in sync with all other customer messaging across channels like email, mobile, social with Journey Builder and manage your Facebook audiences with Advertising Studio.

Facebook lead forms are mobile-device friendly and designed for the least amount of typing possible. It’s fast and easy for prospects to give you accurate, actionable info so you can connect with them as a part of your sales process.",Find your best prospects and next great customers from over 1.7 billion people on Facebook and bring those leads automatically into Salesforce so your Sales teams can begin working and closing that potential new business as quickly as possible.####Lead Capture for Sales Cloud allows brands running demand generation campaigns on Facebook using Lead Ads to automate lead form submissions directly into Sales Cloud and map them to Lead Objects.####Lead Capture for Sales Cloud extends the power of your digital advertising and our lead automation solutions at Salesforce including Pardot.,"Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance
Other System Requirements
No additional system requirements","Knowledge Base
https://help.salesforce.com","Package Name
Lead Capture
Version
2.7 / 2.7.0
Listed On
10/10/2016
Latest Release
11/14/2016
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
"Genesys Cloud for Salesforce | CTI, Omni-Channel, HVS, Dialer, BYOT Voice",Starting at $15 USD per user per month,Telephony,-5,6/24/2021,"The leading, all-in-one, composable contact center and CX platform
 A true cloud offering, Genesys Cloud for Salesforce includes a feature-rich, pre-built integration for instant impact and the ability for deep customization to optimize your existing Salesforce, processes, and vision. Service Cloud Voice BYOT ready.","Immediate impact out of the cloud:##A pre-built, packaged integration that is easily deployed by everyday admins or non-developers with powerful features that work instantly out of the cloud so you can get your agents up and running in minutes.

Extend easier:##Combining strength with strength, IT designs how to best unify the desktop, routing, orchestration and automation capabilities using no-code tools that abstract and automate the development process.

Limitless customization:##Build a truly differentiated CX practice that stands apart with deep code-level customization and automation. Develop sophisticated processes and campaigns that are unique to your Salesforce, industry, and processes.","2020 Leader in Gartner Contact Center as a Service Magic Quadrant####Integrating Salesforce with a CTI provider is table stakes. Everyone does it. However, to truly differentiate your CX, you’ll need more than just plain telephony.####Built to handle any channel, no CX platform pairs a broader and deeper set of digital, voice, AI, and WEM capabilities with a more scalable and composable platform than Genesys Cloud.####Deploy quickly with powerful, pre-packaged features, WebRTC softphones, and extend easier with simple automations, custom screenpops and single sign-on (SSO). Genesys Cloud is 100% cloud-based so there’s nothing to install, maintain or back up.####Manage, track, and queue omnichannel interactions within a single Salesforce agent interface. The integration provides embedded call controls, click-to-dial, outbound campaigns, screen pop and presence management. Screenpops and automated call logging enable a 360 view of the customer and conversation.####Create a company culture that attracts and retains the best employees with built-in workforce engagement management (WEM). ####Leverage our API-first open architecture for even deeper integration and customization.","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance, Essentials
Other System Requirements
To use Genesys Cloud for Salesforce, purchase appropriate licenses for Genesys Cloud, configure Genesys Cloud permissions and configure Salesforce to display the softphone.","+1-888-369-5555
Ëmail
customercare@genesys.com
Knowledge Base
https://help.mypurecloud.com","Package Name
Genesys Cloud for Salesforce
Version
4.4 / 4.4.0
Listed On
1/15/2016
Latest Release
6/24/2021
Languages
Dutch,English,French,German,Italian,Japanese,Korean,Portuguese,Simplified Chinese,Spanish,Swedish","Genesys® powers 25 billion of the world’s best customer experiences each year. Our success comes from connecting employee and customer conversations on any channel, every day. Over 10,000 companies in 100+ countries trust our #1 customer experience platform to drive great business outcomes and create lasting relationships. Combining the best of technology and human ingenuity, we build solutions that mirror natural communication and work the way you think. Our industry-leading solutions foster true omnichannel engagement, performing equally well across all channels, on-premise and in the cloud. Experience communication as it should be: fluid, instinctive and profoundly empowering.",http://www.genesys.com/,info@genesys.com,"Daly City, CA, USA"
Nintex Drawloop DocGen® | No-Code Document Generation,Starting at $20 USD per user per month,Contract Management,-328,6/10/2021,"Document Generation with clicks, not code
 Nintex Drawloop DocGen® makes it easy for anyone to automate the creation of mission-critical documents —regardless of technical prowess or IT availability.  Quotes, proposals, NDAs, order forms, contracts, invoices— are just a few clicks away.","ANY DATA ##Generate documents with just a few clicks using data from Salesforce records, forms or other systems to build customized documents that empower your employees and accelerate your operations.

ANY DOCUMENT ##Improve compliance and securely create contracts, invoices, RFPs, and more by using any combination of Word, Excel, PowerPoint and PDF templates.

ANY DELIVERY ##Nintex Drawloop DocGen can ensure ensure documents get where they need to go.  Send by eSign, email, file transfer or simply download to archive or share documents with one or multiple contacts with a click of a button.","ANY CLOUD ##Use any Salesforce cloud to create, manage and generate documents across Classic, Lightning or Mobile without losing the benefits of an easy-to-use and familiar user experience within Salesforce.  ## ##ALWAYS ON-TRACK ##Manage access to documents based on stage or user permissions and eliminate human errors with pre-defined templates, ensuring legal and policy compliance. Auto-assign tasks, alerts and follow-ups to make sure nothing falls through the cracks. ####ALWAYS SECURE ##Nintex Drawloop DocGen is available as a FedRamp IL2 Moderate approved application that works natively in Salesforce. The Nintex Drawloop API has achieved SOC 2 certification to ensure your data is securely managed at all times.   ####EASY TO USE ##The Nintex Drawloop DocGen drag-and-drop designer interface makes it easy for any user with no coding experience to build automated solutions for existing document creation tasks that would otherwise have to be done manually. ####AUTOMATE AND OPTIMIZE ##Document driven business processes such as:## ##> Contracts ##> Quotes ##> Proposals ##> Work orders ##> Shipping documents ##> Account plans ##> Invoices/receipts ##> Reports & charts ##> And more!","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
Works with Chrome, Firefox, Internet Explorer, Edge, and Safari.","(425) 533-2827, option 2 then 2 again
Ëmail
support@nintex.com
Knowledge Base
http://help.nintex.com/en-US/docgen/docgen-portal.htm","Package Name
Nintex DocGen
Version
17.8 / 17.8.0
Listed On
3/12/2007
Latest Release
6/10/2021
Languages
Dutch,English,Finnish,French,German,Danish,Italian,Japanese,Korean,Portuguese,Russian,Simplified Chinese,Spanish,Swedish,Thai,Traditional Chinese","Nintex—the recognized global leader in document generation and workflow automation—makes it easy for you to empower your line of business workers to manage, automate and optimize their own business processes. From simple to complex--all without leaving the familiarity of Salesforce, having to write a single line of code, or relying on IT. From contract lifecycle management to empowering customer service, thousands of the world’s leading businesses turn to Nintex to be the document automation platform that powers their businesses across a wide range of use cases on the Salesforce platform. The result? Nintex workflows and document runs have executed billions of times, saving organizations hundreds of years of productivity, enabling their employees to be more strategic, creative, and innovative.",https://www.nintex.com/workflow-automation/salesforce/,sales@nintex.com,"Bellevue, WA, USA"
Omni-channel Performance Dashboard,Free,Agent Productivity,-6,2/3/2020,"Understand agent productivity and workload
 Want to understand where you agents are focusing their time and provide great coaching moments? This is the dashboard for you!",,"Want to understand where you agents are focusing their time and provide great coaching moments? This is the dashboard for you!####This dashboard accesses data from the AgentWork object which is where some of the Omni transaction data is stored, as well as ServiceResource and ServiceResourceSkill where the Skill information for Call Center Agents are located.####This will save you time in having to build all of these reports from scratch.####Please set up omni-channel with Service Setup before attempting to install this.####https://help.salesforce.com/articleView?id=console_lex_service_setup_omnichannel.htm&type=5####https://www.youtube.com/watch?v=dHPPPuFgjes","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance, Essentials
Other System Requirements
Requires Omni-Channel",,"Package Name
Omni Dashboard
Version
Omni Dashboard / 1.2.0
Listed On
1/28/2020
Latest Release
2/3/2020
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff & other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,"San Francisco, CA, USA"
Box for Salesforce,Free,Document Management,-145,5/4/2021,"Easily share, access, and manage Box files within Salesforce
 Box for Salesforce empowers teams to collaborate more effectively on sales content without ever leaving Salesforce. As the hub for your content, Box centralizes documents across your organization to streamline processes and accelerate sales cycles.","Align Sales and content: Embed the Box interface within Salesforce records to provide users with a quick way to access and manage content without leaving Salesforce. Associate Box folders with records to ensure the most important content is accessible.

Work anywhere, from any device: Close deals on-the-go with Salesforce1 mobile application compatibility. Leverage all of the same Box for Salesforce desktop functionality to access sales content and work more effectively while in the field.

Maintain content permissions: Map and sync Box and Salesforce permissions to ensure the right people have access to the right content. Enable Auto-Collab to streamline work and automatically add record viewers as collaborators to associated Box folders.","Top features: ####✔ Link Box content with specific Salesforce records, including custom objects ##✔ View files directly in Salesforce and Salesforce1##✔ Assign tasks to team members, comment on files, and edit documents with one click##✔ Share files and collaborate with team members, even if they are not Salesforce users##✔ Monitor customer activity (like downloads) in real-time ##✔ Leverage other apps, like DocuSign or Chatter, directly from the Box widget ##✔ Compatible with both Salesforce Lightning and Classic##✔ Customizable to support your teams' workflows with the Box for Salesforce Developer Toolkit","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance, Essentials
Other System Requirements
Please ensure that you are using the latest version of your web browser.","1-(877)-729-4269
Ëmail
support@box.com
Knowledge Base
https://success.box.com","Package Name
Box for Salesforce
Version
Box for Salesforce 3.63 / 3.63.0
Listed On
10/22/2009
Latest Release
5/4/2021
Languages
Dutch,English,Finnish,French,German,Danish,Italian,Japanese,Korean,Portuguese,Russian,Simplified Chinese,Spanish,Swedish,Thai,Traditional Chinese","Box (NYSE:BOX) is the cloud content management company that empowers enterprises to revolutionize how they work by securely connecting their people, information, and applications.  ####Founded in 2005, Box powers more than 100,000 businesses globally, including AstraZeneca, General Electric, P&G, and Gap.  Box is headquartered in Redwood City, CA, with offices across the United States, Europe, and Asia.  ####To learn more about Box, visit https://www.box.com/.",https://www.box.com,support@box.com,"Redwood City, CA, USA"
Survey Force by Salesforce Labs,Free,Surveys,-213,5/4/2021,"Create surveys and track results in salesforce.com.
 Survey Force (Lightning Ready) allows you to create, send, and capture customer feedback natively in salesforce.com.","Easily Create and Order Questions via Drag and Drop

Distribute Surveys Via Email Templates and Sites

Capture Results from Contacts and/or Cases, use Reports and Dashboards to Analyze","Survey Force is a Free Salesforce Labs application that allows you to capture feedback in salesforce.com.  Survey Force allows you to create 3 types of questions (single select, multi select and free form text) and order your questions via drag and drop.  Surveys are deployed via email templates and Sites.   Survey results are related to the Contact and/or Case. Reports and Dashboards can be leveraged to analyze survey results.####Note: This is unmanaged app and cannot be certified.  Because of that, this app cannot be installed in Professional Edition.","Salesforce Edition
Enterprise, Unlimited, Developer
Other System Requirements
No additional system requirements",,"Package Name
Survey Force
Version
Survey Force / 2.59.0
Listed On
8/30/2010
Latest Release
5/4/2021
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
Deployment Manager for Marketing Cloud,Free,Campaign Management,-8,,"Import and Export Marketing Cloud Configuration
 Easily distribute campaign configuration to other Marketing Cloud Enterprises and Business Units","Promote campaign configuration between your Dev, Test, and Production accounts. Use Deployment Manager to streamline your lifecycle management processes and quickly promote campaigns up the pipeline.

Migrate and onboard new accounts by easily templatizing configuration. Use Deployment Manager to create industry and company-specific configurations which can be deployed to multiple accounts.

Move faster by distributing campaign configuration to other accounts. Let Deployment Manager do the hard work for you.","WHAT WE'RE DOING:##We’re building a tool that all customers can use to export campaign configuration from one Marketing Cloud account, and then import that configuration into a separate Marketing Cloud account. ####Currently, Deployment Manager replicates the design (canvas structure) of journeys, however, we plan to iteratively add support for additional functionality throughout the year. ####HOW IT WORKS:##Use Deployment Manager to take a snapshot of your campaign configuration. The snapshot is then downloaded as a file. Navigate to another Enterprise or Business Unit and use Deployment Manager to deploy the snapshot. Deployment Manager will recreate the original snapshotted campaign configuration in the target account. View documentation at https://sfdc.co/deploymentmanagerdocs####MORE INFORMATION:##Learn more, ask questions, give feedback, and help build the roadmap in our Trailblazer Community: https://sfdc.co/depmgrcommunity####**CURRENT FUNCTIONALITY** ##- April: Ability to import/export designs of journeys (canvas structure).##- July: Ability to import/export data extension schemas##- Nov: Partial support for Automations & Contact Model Attribute Groups","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance, Essentials
Other System Requirements
No additional system requirements",,,"Salesforce Labs is a program that lets salesforce.com engineers, professional services staff & other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,"San Francisco, CA, USA"
Nonprofit Success Pack,Free,,-8,5/4/2016,"The latest version of the salesforce.org Nonprofit Success Pack
 The Nonprofit Success Pack is an easy-to-use fundraising and constituent management application on the Salesforce platform. A free and open-source application from Salesforce.org, NPSP harnesses the power of Salesforce's vibrant nonprofit community.","Easily and effectively manage users, donors, contacts, volunteers, and more. Track Households and connections between your organization's critical constituents.

Track donations, pledges, recurring and planned giving, hard and soft credits, and much, much more. Reconcile general allocation units, cash, and revenue across your entire organization.

Highly configurable and customizable, the Nonprofit Success Pack not only serves as a great donor management system right out of the box, but can evolve as your organization and its needs do the same.","Designed for nonprofits of all sizes, the Nonprofit Success Pack has undergone tremendous development since 2008 to become the most widely used nonprofit Salesforce application. ####The Nonprofit Success Pack is an-easy-to-use fundraising and constituent management application on the Salesforce platform. Driven by the Salesforce.org community, it's built specifically with the needs of nonprofits in mind. Whether your organization is all-volunteer, medium-sized, or well-established and resourced, NPSP will help you advance your mission -- as it's doing everyday for thousands of nonprofits.####The Nonprofit Success Pack is an open-source product provided by Salesforce.org. We support installations of the Nonprofit Success Pack managed package. We don't support unmanaged installations of this product.","Salesforce Edition
Enterprise, Unlimited, Developer, Performance
Other System Requirements
This listing requires you to have an existing Salesforce organization already setup, in trial or in production. To receive a new trial org, please visit http://www.salesforce.org/nonprofit/get-started/","Knowledge Base
https://powerofus.force.com/articles/Resource/NPSP-Documentation","Package Name
Nonprofit Starter Pack
Version
3.72 / 3.72.0
Listed On
5/1/2014
Latest Release
5/4/2016
Languages
English",,http://salesforce.org,,"San Francisco, CA"
Formstack - Native form builder & data collection for Salesforce,Starting at $225 USD per user per month,IT & Administration,-183,8/18/2021,"Realize your Salesforce vision with Formstack Forms for Salesforce
 Forms for Salesforce is a 100% native Salesforce form builder. Dynamically prefill forms, generate and update records, and connect to any standard or custom object without leaving your Salesforce account.####Click ""Get it Now"" for a free 14-day trial!","Eliminate Data Silos##Forget about paper forms and data silos. Use Formstack for Salesforce to automate processes, from data collection to digital signature.

Save Valuable Time##Eliminate repetitive, time-consuming tasks with an all-in-one Salesforce solution. Formstack for Salesforce easily automates your most tedious processes.

Consolidate Your Tools##Access a comprehensive suite of tools for Salesforce. Build digital forms, automate documents, and collect eSignatures without leaving Salesforce.","Forms for Salesforce##Build a form, customize the design, and collect data directly within your Salesforce org. Dynamically prefill data from any object and reimagine your form experience. Features include:####- Native Builder##- Salesforce Drag-and-Drop Form Builder##- Progressive Data Capture##- Payment Processing##- Community Cloud Forms##- Powerful Security (reCAPTCHA and compliance for HIPAA, FedRamp, and FERPA####Documents for Salesforce##Connect your Forms for Salesforce with Documents for Salesforce to further realize your Salesforce vision and create a seamless experience from data collection to document generation and even digital signature through Formstack Sign. Documents for Salesforce features include:####- Automated Document Creation##- One-Click Salesforce Documents##- Easy-to-Use Templates##- Multiple Delivery Options##- Flexible-Rules Engine##- Digital Signature Collection (via Formstack Sign)####Realize your Salesforce vision with Formstack for Salesforce. Click “Get it Now” to start your free 14-day trial!Or contact us to schedule a demo at https://www.formstack.com/contact-sales-salesforce.","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance, Essentials
Other System Requirements
No additional system requirements","Ëmail
sfappsupport@formstack.com
Knowledge Base
https://sfapphelp.formstack.com/hc/en-us","Package Name
Formstack
Version
Formstack / 4.49.0
Listed On
9/4/2014
Latest Release
8/18/2021
Languages
English","Formstack is the go-to online forms provider for Salesforce users looking to collect and manage data. We support more than 25,000 customers nationwide looking to streamline data collection, automate workflows and save valuable time.",https://www.formstack.com/salesforce,sfappsupport@formstack.com,"Indianapolis, IN"
Project Management Tool - PMT,Free,Project Management,-4,2/24/2021,"Free end-to-end project management solution built by Salesforce
 Easily structure your projects & monitor progress to:##• make informed business decisions##• track benefits & proactively respond to project risks##• manage commitments & deliverables##• foster collaboration & transparency##*CHATTER ACTIVATION IS NEEDED*","ACCOUNTABILITY: Easily track upcoming tasks and key decisions. Roles and responsibilities are well- defined. No need to create project status slides.

COLLABORATION: Embedded collaboration moves projects along quickly, even when multiple teams and regions are involved.

ISSUE MANAGEMENT: Escalate business critical issues/risks/bugs with Cases. Focus on resolving late projects with path to green.","The Project Management Tool provides a global view of your project portfolio to better manage and monitor projects, and project resources. PMT is an application built on the Salesforce platform that facilitates project organization through programs, phases, and tasks.####Core project management features include: ####* mass creation and updating of records##* reminders and notifications ##* issue tracking and resolution##* resource allocation and availability##* real-time reports and dashboards##* mobile-ready ####PMT is proven to be effective with large cross-functional, multi-year projects. Anyone can successfully deliver a project with PMT. Come be a part of this journey with us!","Salesforce Edition
Enterprise, Unlimited, Developer
Other System Requirements
Chatter",,"Package Name
PMT
Version
ver 0.21 / 0.21.0
Listed On
2/11/2021
Latest Release
2/24/2021
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff & other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,"San Francisco, CA, USA"
"Survey Vista : 100% Native Salesforce Surveys, Forms, Quizzes, and Checklists",Free,Surveys,-37,9/8/2021,"Surveys and forms Data Never Leaves Salesforce & Protected by Salesforce!
 Build corporate branded, mobile-friendly, dynamic salesforce survey and forms. Configurable scoring engine to turn surveys & forms into quizzes, questionnaires, checklists, and assessments such as Healthcare checklists, Lead Scoring, and policy quizzes.","Native Salesforce Surveys & Forms (Limits 15 questions per survey, 200 responses).##Achieve everything you can do with other frameworks such as Salesforce Survey, Survey Monkey, Get Feedback, FormTitan, FormAssembly, FormStack and Qualtrics, PLUS MORE...

Salesforce Lightning Experience Survey, Form, Quiz, Checklist##Unlimited Paid Starting at US $999 per year per org (See Ardira WFM App)##Discount for nonprofits##FREE Implementation Services with Paid Subscription (Money Back Guarantee)

FREE Support: email, phone, & web meetings.##Agile startup, new features quickly to make your life easier achieving business goals.##Cost effective Salesforce services to completely customize the SurveyVista Framework for your needs and integration.","SurveyVista##* Customer Satisfaction Surveys, Employee Satisfaction Surveys, Corporate Branded Forms (Registration, Volunteer, Donation…), Educational Experience Survey##* Checklists and Controls Assessments such as HIPAA, ISO, GDPR, HiTrust, and PCI##* Metrics, KRIs, and KPIs Collection####BUILD##* WYSIWYG Builder for quick authoring##* 25+ Question Types including Net Promoter Score, Rich Text, Signature, and Consent##* Condition Logic to Show / Hide Questions##* Personalize Surveys & Forms with your Salesforce data##* File Upload and Download support####DISTRIBUTE##* Automatically send survey using process builder after specific interactions, like case closed or opportunity lost##* Send Surveys to emails, users, contacts, and standard/custom object records##* Publishing on Community, internet or intranet or distribute using email marketing tools##* Embed survey questions in “One-Touch Emails” ####ANALYZE##* Response Mapping to Turn Surveys & Forms data into Salesforce data##* Configurable Scoring, Score Aggregation, and Roll up##* Measure trends using configurable Survey recurrence##* Open Schema to Analyze responses in Salesforce Reports and Dashboards","Salesforce Edition
Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
To allow non Salesforce Users to respond to surveys and forms, you have to set up Salesforce Public Site and/or Public Community. Please refer to the Knowledge Base.","Ëmail
support@surveyvista.com
Knowledge Base
https://surveyvista.com/knowledge-base/","Package Name
SurveyVista
Version
1.605.15 / 1.605.15
Listed On
6/19/2020
Latest Release
9/8/2021
Languages
Dutch,English,Finnish,French,German,Danish,Italian,Japanese,Korean,Portuguese,Russian,Simplified Chinese,Spanish,Swedish,Thai,Traditional Chinese",Ardira provides cloud software and services on #1 cloud platform Salesforce. Our team has acted as catalyst for growth for organizations by delivering enterprise software solutions & services on Salesforce platform.,https://ardira.com,info@ardira.com,"Santa Clara, CA, USA"
Lead Capture for Marketing Cloud,Free,Marketing,0,,"Automate leads from Facebook directly into Marketing Cloud
 Lead Capture for Marketing Cloud allows brands running demand generation campaigns on Facebook using Lead Ads to automate lead form submissions directly into Marketing Cloud data extensions.","Automate the flow of your lead pipeline from Facebook and integrate it into the Marketing Cloud for marketing teams to manage. Leads automatically appear in real time, using a secure connection to Facebook.

If you're also a Sales Cloud customer, ensure that the marketing processes for your prospects are in sync with all other customer messaging across channels like email, mobile, and social.

Facebook lead forms are mobile-device friendly and designed for the least amount of typing possible. It’s fast and easy for prospects to give you accurate, actionable info so you can connect with them as a part of your marketing campaigns.",Find your best prospects and next great customers from over 2.3 billion people on Facebook and bring those leads automatically into Salesforce so your marketing teams can begin working and closing that potential new business as quickly as possible.####Lead Capture for Marketing Cloud allows brands running demand generation campaigns on Facebook using Lead Ads to automate lead form submissions directly into Marketing Cloud data extensions.####Lead Capture for Marketing Cloud extends the power of your digital advertising and our lead automation solutions at Salesforce including Pardot.####Official Salesforce documentation can be found at https://sfdc.co/LeadCapture,"Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance, Essentials
Other System Requirements
Lead Capture supports all Marketing Cloud Editions.",,,"Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
